series_id,raw_pvalue,adjusted_pvalue,significant_raw,significant_adjusted,status
S010,2.0584494295802448e-06,9.67471231902715e-05,True,True,survived
S006,5.808361216819947e-06,0.00011088820224309978,True,True,survived
S021,1.3949386065204184e-05,0.00011088820224309978,True,True,survived
S005,1.5599452033620266e-05,0.00011088820224309978,True,True,survived
S004,1.5601864044243653e-05,0.00011088820224309978,True,True,survived
S014,1.8182496720710062e-05,0.00011088820224309978,True,True,survived
S015,1.8340450985343383e-05,0.00011088820224309978,True,True,survived
S026,1.9967378215835973e-05,0.00011088820224309978,True,True,survived
S013,2.1233911067827617e-05,0.00011088820224309978,True,True,survived
S019,2.9122914019804193e-05,0.0001191615451591523,True,True,survived
S022,2.9214464853521817e-05,0.0001191615451591523,True,True,survived
S016,3.0424224295953774e-05,0.0001191615451591523,True,True,survived
S023,3.663618432936917e-05,0.00012573846847018598,True,True,survived
S000,3.745401188473625e-05,0.00012573846847018598,True,True,survived
S018,4.319450186421158e-05,0.00013397055786375432,True,True,survived
S024,4.560699842170359e-05,0.00013397055786375432,True,True,survived
S017,5.2475643163223785e-05,0.00014378543025975917,True,True,survived
S003,5.986584841970366e-05,0.00014378543025975917,True,True,survived
S008,6.011150117432088e-05,0.00014378543025975917,True,True,survived
S020,6.118528947223795e-05,0.00014378543025975917,True,True,survived
S009,7.080725777960455e-05,0.00015638052393243654,True,True,survived
S002,7.319939418114052e-05,0.00015638052393243654,True,True,survived
S025,7.851759613930137e-05,0.00016044900080639847,True,True,survived
S012,8.324426408004218e-05,0.00016284111540568782,True,True,survived
S007,8.661761457749353e-05,0.00016284111540568782,True,True,survived
S001,9.507143064099161e-05,0.00016883615945042124,True,True,survived
S011,9.699098521619944e-05,0.00016883615945042124,True,True,survived
S029,0.0014180537144799796,0.00238030444930568,True,True,survived
S032,0.0015854643368675156,0.0025695456494059738,True,True,survived
S037,0.001879049026057455,0.0029438434741566794,True,True,survived
S040,0.0020983441136030096,0.0031813604303013374,True,True,survived
S031,0.0025347171131856238,0.003722865759991385,True,True,survived
S036,0.0037415239225603364,0.005328837101828358,True,True,survived
S039,0.004961372443656412,0.006858367789760334,True,True,survived
S041,0.005456592191001432,0.007327423799344781,True,True,survived
S027,0.005628109945722505,0.007347810206915492,True,True,survived
S028,0.006331731119758383,0.007999775588271276,True,True,survived
S030,0.006467903667112946,0.007999775588271276,True,True,survived
S038,0.007158097238609413,0.008626424877298524,True,True,survived
S035,0.008275576133048152,0.009723801956331579,True,True,survived
S033,0.00953996983528,0.010844341666441399,True,True,survived
S034,0.009690688297671037,0.010844341666441399,True,True,survived
S042,0.02275108168921747,0.0248674613812377,True,True,survived
S044,0.04070239852800135,0.04347756206400144,True,True,survived
S046,0.04493688608715288,0.04693408102435967,True,True,survived
S045,0.07300178274831856,0.07458877802545592,False,False,not_significant
S043,0.09274563216630258,0.09274563216630258,False,False,not_significant
